Timestamp,gpu0r0,gpu0w0,gpu0r1,gpu0w1,gpu0r2,gpu0w2,gpu0r3,gpu0w3,gpu0r4,gpu0w4,gpu0r5,gpu0w5,gpu0r6,gpu0w6,gpu0r7,gpu0w7,gpu1r0,gpu1w0,gpu1r1,gpu1w1,gpu1r2,gpu1w2,gpu1r3,gpu1w3,gpu1r4,gpu1w4,gpu1r5,gpu1w5,gpu1r6,gpu1w6,gpu1r7,gpu1w7,gpu2r0,gpu2w0,gpu2r1,gpu2w1,gpu2r2,gpu2w2,gpu2r3,gpu2w3,gpu2r4,gpu2w4,gpu2r5,gpu2w5,gpu2r6,gpu2w6,gpu2r7,gpu2w7,gpu3r0,gpu3w0,gpu3r1,gpu3w1,gpu3r2,gpu3w2,gpu3r3,gpu3w3,gpu3r4,gpu3w4,gpu3r5,gpu3w5,gpu3r6,gpu3w6,gpu3r7,gpu3w7,gpu4r0,gpu4w0,gpu4r1,gpu4w1,gpu4r2,gpu4w2,gpu4r3,gpu4w3,gpu4r4,gpu4w4,gpu4r5,gpu4w5,gpu4r6,gpu4w6,gpu4r7,gpu4w7,gpu5r0,gpu5w0,gpu5r1,gpu5w1,gpu5r2,gpu5w2,gpu5r3,gpu5w3,gpu5r4,gpu5w4,gpu5r5,gpu5w5,gpu5r6,gpu5w6,gpu5r7,gpu5w7,gpu6r0,gpu6w0,gpu6r1,gpu6w1,gpu6r2,gpu6w2,gpu6r3,gpu6w3,gpu6r4,gpu6w4,gpu6r5,gpu6w5,gpu6r6,gpu6w6,gpu6r7,gpu6w7,gpu7r0,gpu7w0,gpu7r1,gpu7w1,gpu7r2,gpu7w2,gpu7r3,gpu7w3,gpu7r4,gpu7w4,gpu7r5,gpu7w5,gpu7r6,gpu7w6,gpu7r7,gpu7w7
1755312876,N/A,N/A,756435329,758054745,65195712,64939997,8914785060,8913268291,1,1,8093847712,8102270703,64554949,64595025,11295942822,11322633044",0,0,N/A,N/A,69023013,68900403,8724093136,8724187804,2,1,66191181,66299993,8250484797,8122971672,11330707426,11312853507",0,0,754910841,755024611,N/A,N/A,68052658,68716238,66849733,66280887,9141611360,9152056996,8102270703,8093849073,8580388017,8591097606",0,0,758670403,757152509,1,1,N/A,N/A,71453481,71552869,8209234387,8133723258,9152130569,9141760714,8352439400,8349187812",0,0,8075377414,8079492893,0,1,8913484445,8915048356,N/A,N/A,66340340,66379439,761864366,764597469,9061649945,9070201298",0,0,7631680820,7633615801,0,1,8724287781,8724153831,71552876,71453507,N/A,N/A,64595008,64554958,9070262171,9061734838",0,0,8081394924,8077634085,64939997,65195711,69076782,68748593,0,1,748068736,758004200,N/A,N/A,8571924035,8588942627",0,0,7633667556,7631610248,68900390,69023013,68716246,68052746,0,1,8718047532,8718218088,764597468,761864365,N/A,N/A"
1755312878,N/A,N/A,756435329,758054745,65195712,64939997,8914785060,8913268291,1,1,8093847712,8102270703,64554949,64595025,11295942822,11322633044",0,0,N/A,N/A,69023013,68900403,8724093136,8724187804,2,1,66191181,66299993,8250484797,8122971672,11330707426,11312853507",0,0,754910841,755024611,N/A,N/A,68052658,68716238,66849733,66280887,9141611360,9152056996,8102270703,8093849073,8580388017,8591097606",0,0,758670403,757152509,1,1,N/A,N/A,71453481,71552869,8209234387,8133723258,9152130569,9141760714,8352439400,8349187812",0,0,8075377414,8079492893,0,1,8913484445,8915048356,N/A,N/A,66340340,66379439,761864366,764597469,9061649945,9070201298",0,0,7631680820,7633615801,0,1,8724287781,8724153831,71552876,71453507,N/A,N/A,64595008,64554958,9070262171,9061734838",0,0,8081394924,8077634085,64939997,65195711,69076782,68748593,0,1,748068736,758004200,N/A,N/A,8571924035,8588942627",0,0,7633667556,7631610248,68900390,69023013,68716246,68052746,0,1,8718047532,8718218088,764597468,761864365,N/A,N/A"
1755312879,N/A,N/A,756435329,758054745,65195712,64939997,8914785060,8913268291,1,1,8093847712,8102270703,64554949,64595025,11295942822,11322633044",0,0,N/A,N/A,69023013,68900403,8724093136,8724187804,2,1,66191181,66299993,8250484797,8122971672,11330707426,11312853507",0,0,754910841,755024611,N/A,N/A,68052658,68716238,66849733,66280887,9141611360,9152056996,8102270703,8093849073,8580388017,8591097606",0,0,758670403,757152509,1,1,N/A,N/A,71453481,71552869,8209234387,8133723258,9152130569,9141760714,8352439400,8349187812",0,0,8075377414,8079492893,0,1,8913484445,8915048356,N/A,N/A,66340340,66379439,761864366,764597469,9061649945,9070201298",0,0,7631680820,7633615801,0,1,8724287781,8724153831,71552876,71453507,N/A,N/A,64595008,64554958,9070262171,9061734838",0,0,8081394924,8077634085,64939997,65195711,69076782,68748593,0,1,748068736,758004200,N/A,N/A,8571924035,8588942627",0,0,7633667556,7631610248,68900390,69023013,68716246,68052746,0,1,8718047532,8718218088,764597468,761864365,N/A,N/A"
1755312881,N/A,N/A,756435329,758054745,65195712,64939997,8914785060,8913268291,1,1,8093847712,8102270703,64554949,64595025,11295942822,11322633044",0,0,N/A,N/A,69023013,68900403,8724093136,8724187804,2,1,66191181,66299993,8250484797,8122971672,11330707426,11312853507",0,0,754910841,755024611,N/A,N/A,68052658,68716238,66849733,66280887,9141611360,9152056996,8102270703,8093849073,8580388017,8591097606",0,0,758670403,757152509,1,1,N/A,N/A,71453481,71552869,8209234387,8133723258,9152130569,9141760714,8352439400,8349187812",0,0,8075377414,8079492893,0,1,8913484445,8915048356,N/A,N/A,66340340,66379439,761864366,764597469,9061649945,9070201298",0,0,7631680820,7633615801,0,1,8724287781,8724153831,71552876,71453507,N/A,N/A,64595008,64554958,9070262171,9061734838",0,0,8081394924,8077634085,64939997,65195711,69076782,68748593,0,1,748068736,758004200,N/A,N/A,8571924035,8588942627",0,0,7633667556,7631610248,68900390,69023013,68716246,68052746,0,1,8718047532,8718218088,764597468,761864365,N/A,N/A"
1755312882,N/A,N/A,756435329,758054745,65195712,64939997,8914785060,8913268291,1,1,8093847712,8102270703,64554949,64595025,11295942822,11322633044",0,0,N/A,N/A,69023013,68900403,8724093136,8724187804,2,1,66191181,66299993,8250484797,8122971672,11330707426,11312853507",0,0,754910841,755024611,N/A,N/A,68052658,68716238,66849733,66280887,9141611360,9152056996,8102270703,8093849073,8580388017,8591097606",0,0,758670403,757152509,1,1,N/A,N/A,71453481,71552869,8209234387,8133723258,9152130569,9141760714,8352439400,8349187812",0,0,8075377414,8079492893,0,1,8913484445,8915048356,N/A,N/A,66340340,66379439,761864366,764597469,9061649945,9070201298",0,0,7631680820,7633615801,0,1,8724287781,8724153831,71552876,71453507,N/A,N/A,64595008,64554958,9070262171,9061734838",0,0,8081394924,8077634085,64939997,65195711,69076782,68748593,0,1,748068736,758004200,N/A,N/A,8571924035,8588942627",0,0,7633667556,7631610248,68900390,69023013,68716246,68052746,0,1,8718047532,8718218088,764597468,761864365,N/A,N/A"
1755312883,N/A,N/A,756435329,758054745,65195712,64939997,8914785060,8913268291,1,1,8093847712,8102270703,64554949,64595025,11295942822,11322633044",0,0,N/A,N/A,69023013,68900403,8724093136,8724187804,2,1,66191181,66299993,8250484797,8122971672,11330707426,11312853507",0,0,754910841,755024611,N/A,N/A,68052658,68716238,66849733,66280887,9141611360,9152056996,8102270703,8093849073,8580388017,8591097606",0,0,758670403,757152509,1,1,N/A,N/A,71453481,71552869,8209234387,8133723258,9152130569,9141760714,8352439400,8349187812",0,0,8075377414,8079492893,0,1,8913484445,8915048356,N/A,N/A,66340340,66379439,761864366,764597469,9061649945,9070201298",0,0,7631680820,7633615801,0,1,8724287781,8724153831,71552876,71453507,N/A,N/A,64595008,64554958,9070262171,9061734838",0,0,8081394924,8077634085,64939997,65195711,69076782,68748593,0,1,748068736,758004200,N/A,N/A,8571924035,8588942627",0,0,7633667556,7631610248,68900390,69023013,68716246,68052746,0,1,8718047532,8718218088,764597468,761864365,N/A,N/A"
1755312885,N/A,N/A,756435329,758054745,65195712,64939997,8914785060,8913268291,1,1,8093847712,8102270703,64554949,64595025,11295942822,11322633044",0,0,N/A,N/A,69023013,68900403,8724093136,8724187804,2,1,66191181,66299993,8250484797,8122971672,11330707426,11312853507",0,0,754910841,755024611,N/A,N/A,68052658,68716238,66849733,66280887,9141611360,9152056996,8102270703,8093849073,8580388017,8591097606",0,0,758670403,757152509,1,1,N/A,N/A,71453481,71552869,8209234387,8133723258,9152130569,9141760714,8352439400,8349187812",0,0,8075377414,8079492893,0,1,8913484445,8915048356,N/A,N/A,66340340,66379439,761864366,764597469,9061649945,9070201298",0,0,7631680820,7633615801,0,1,8724287781,8724153831,71552876,71453507,N/A,N/A,64595008,64554958,9070262171,9061734838",0,0,8081394924,8077634085,64939997,65195711,69076782,68748593,0,1,748068736,758004200,N/A,N/A,8571924035,8588942627",0,0,7633667556,7631610248,68900390,69023013,68716246,68052746,0,1,8718047532,8718218088,764597468,761864365,N/A,N/A"
1755312886,N/A,N/A,756435329,758054745,65195712,64939997,8914785060,8913268291,1,1,8093847712,8102270703,64554949,64595025,11295942822,11322633044",0,0,N/A,N/A,69023013,68900403,8724093136,8724187804,2,1,66191181,66299993,8250484797,8122971672,11330707426,11312853507",0,0,754910841,755024611,N/A,N/A,68052658,68716238,66849733,66280887,9141611360,9152056996,8102270703,8093849073,8580388017,8591097606",0,0,758670403,757152509,1,1,N/A,N/A,71453481,71552869,8209234387,8133723258,9152130569,9141760714,8352439400,8349187812",0,0,8075377414,8079492893,0,1,8913484445,8915048356,N/A,N/A,66340340,66379439,761864366,764597469,9061649945,9070201298",0,0,7631680820,7633615801,0,1,8724287781,8724153831,71552876,71453507,N/A,N/A,64595008,64554958,9070262171,9061734838",0,0,8081394924,8077634085,64939997,65195711,69076782,68748593,0,1,748068736,758004200,N/A,N/A,8571924035,8588942627",0,0,7633667556,7631610248,68900390,69023013,68716246,68052746,0,1,8718047532,8718218088,764597468,761864365,N/A,N/A"
1755312888,N/A,N/A,756435329,758054745,65195712,64939997,8914785060,8913268291,1,1,8093847712,8102270703,64554949,64595025,11295942822,11322633044",0,0,N/A,N/A,69023013,68900403,8724093136,8724187804,2,1,66191181,66299993,8250484797,8122971672,11330707426,11312853507",0,0,754910841,755024611,N/A,N/A,68052658,68716238,66849733,66280887,9141611360,9152056996,8102270703,8093849073,8580388017,8591097606",0,0,758670403,757152509,1,1,N/A,N/A,71453481,71552869,8209234387,8133723258,9152130569,9141760714,8352439400,8349187812",0,0,8075377414,8079492893,0,1,8913484445,8915048356,N/A,N/A,66340340,66379439,761864366,764597469,9061649945,9070201298",0,0,7631680820,7633615801,0,1,8724287781,8724153831,71552876,71453507,N/A,N/A,64595008,64554958,9070262171,9061734838",0,0,8081394924,8077634085,64939997,65195711,69076782,68748593,0,1,748068736,758004200,N/A,N/A,8571924035,8588942627",0,0,7633667556,7631610248,68900390,69023013,68716246,68052746,0,1,8718047532,8718218088,764597468,761864365,N/A,N/A"
1755312889,N/A,N/A,756435329,758054745,65195712,64939997,8914785060,8913268291,1,1,8093847712,8102270703,64554949,64595025,11295942822,11322633044",0,0,N/A,N/A,69023013,68900403,8724093136,8724187804,2,1,66191181,66299993,8250484797,8122971672,11330707426,11312853507",0,0,754910841,755024611,N/A,N/A,68052658,68716238,66849733,66280887,9141611360,9152056996,8102270703,8093849073,8580388017,8591097606",0,0,758670403,757152509,1,1,N/A,N/A,71453481,71552869,8209234387,8133723258,9152130569,9141760714,8352439400,8349187812",0,0,8075377414,8079492893,0,1,8913484445,8915048356,N/A,N/A,66340340,66379439,761864366,764597469,9061649945,9070201298",0,0,7631680820,7633615801,0,1,8724287781,8724153831,71552876,71453507,N/A,N/A,64595008,64554958,9070262171,9061734838",0,0,8081394924,8077634085,64939997,65195711,69076782,68748593,0,1,748068736,758004200,N/A,N/A,8571924035,8588942627",0,0,7633667556,7631610248,68900390,69023013,68716246,68052746,0,1,8718047532,8718218088,764597468,761864365,N/A,N/A"
